"","University","qs_students","qs_z","qs_ranking","qs_rank","the_students","the_z","the_ranking","the_rank","z_distance","ranking_distance","diff","pdiff","outlier"
"655","University of Waterloo",35088,0.555634535710371,1068,"=149",33613,0.621703606562771,1811,"201¡V250",-0.0660690708523993,-743,1475,0.04294,"not outlier"
"656","University of Westminster",17198,-0.282747264133488,589,"701-750",16145,-0.152656272318214,1152,"801¡V1000",-0.130090991815273,-563,1053,0.06316,"not outlier"
"657","University of Windsor",13315,-0.464716885642359,429,"701-750",13853,-0.254261083538458,1015,"601¡V800",-0.210455802103901,-586,-538,-0.03961,"not outlier"
"658","University of Wisconsin-Madison",40699,0.818583684895609,1131,"=75",39783,0.895220921235067,1917,"=58",-0.0766372363394586,-786,916,0.02276,"not outlier"
"659","University of Wollongong",18236,-0.234103311744559,631,"193",18222,-0.0605824534244767,1276,"201¡V250",-0.173520858320083,-645,14,0.00077,"not outlier"
"660","University of Wolverhampton",13964,-0.434302699611131,455,"1001-1200",14527,-0.224382530849782,1058,"1001¡V1200",-0.209920168761349,-603,-563,-0.03952,"not outlier"
"661","University of Wyoming",10603,-0.591809755467767,310,"801-1000",10787,-0.390177467134124,813,"601¡V800",-0.201632288333642,-503,-184,-0.0172,"not outlier"
"662","University of York",19645,-0.16807312974456,683,"=151",17302,-0.10136623454255,1212,"169",-0.0667068952020095,-529,2343,0.12683,"not outlier"
"663","University of Zagreb",55741,1.52349922616175,1214,"751-800",57807,1.69422838957437,2047,"1001¡V1200",-0.170729163412613,-833,-2066,-0.03639,"not outlier"
"664","University of Zurich",23285,0.00250874568482265,796,"=70",23714,0.182878987771674,1513,"=75",-0.180370242086852,-717,-429,-0.01826,"not outlier"
"665","Uppsala University",29063,0.273284041352672,952,"124",26917,0.324868608338184,1619,"131",-0.0515845669855128,-667,2146,0.07667,"not outlier"
"666","Utrecht University",33748,0.492837911239115,1043,"110",33569,0.619753077900602,1809,"69",-0.126915166661487,-766,179,0.00532,"not outlier"
"667","Vanderbilt University",12367,-0.509143154298143,382.5,"218",12366,-0.320180086280387,912,"=113",-0.188963068017756,-529.5,1,8e-05,"not outlier"
"668","Verona University",16241,-0.327595301162586,544,"801-1000",18825,-0.0338513447133916,1315,"401¡V500",-0.293743956449195,-771,-2584,-0.14738,"not outlier"
"669","Victoria University",16707,-0.305757072055418,567,"601-650",16680,-0.128939616994117,1178,"401¡V500",-0.176817455061301,-611,27,0.00162,"not outlier"
"670","Victoria University of Wellington",18006,-0.244881836840372,621,"=236",17933,-0.0733938803191758,1257,"501¡V600",-0.171487956521196,-636,73,0.00406,"not outlier"
