"","University","qs_students","the_students","continent","diff","pdiff","outlier"
"284","National Central University",11021,11101,"asia",-80,-0.00723,"not outlier"
"285","National Cheng Kung University (NCKU)",20215,19932,"asia",283,0.0141,"not outlier"
"286","National Chengchi University",9840,12750,"asia",-2910,-0.25764,"outlier & student qs < the"
"287","National Chung Cheng University",8483,11320,"asia",-2837,-0.28652,"outlier & student qs < the"
"288","National Chung Hsing University",12726,15043,"asia",-2317,-0.16688,"not outlier"
"289","National Dong Hwa University",9734,9907,"asia",-173,-0.01762,"not outlier"
"290","National Research Saratov State University",10153,9746,"europe",407,0.04091,"not outlier"
"291","National Taipei University",7932,8349,"asia",-417,-0.05123,"not outlier"
"292","National Taipei University of Technology",7772,9882,"asia",-2110,-0.23904,"outlier & student qs < the"
"293","National Taiwan Normal University",10468,10455,"asia",13,0.00124,"not outlier"
"294","National Taiwan Ocean University",8036,8838,"asia",-802,-0.09506,"not outlier"
"295","National Taiwan University (NTU)",29467,24810,"asia",4657,0.1716,"not outlier"
"296","National Taiwan University of Science and Technology (Taiwan Tech)",8811,8815,"asia",-4,-0.00045,"not outlier"
"297","National Technical University of Athens",13732,13309,"europe",423,0.03129,"not outlier"
"298","National Tsing Hua University",13001,13827,"asia",-826,-0.06158,"not outlier"
"299","National Yang Ming Chiao Tung University",16834,16870,"asia",-36,-0.00214,"not outlier"
"300","Newcastle University",26923,24630,"europe",2293,0.08896,"not outlier"
"301","Niigata University",12375,12061,"asia",314,0.0257,"not outlier"
"302","North-West University",33887,40262,"africa",-6375,-0.17195,"not outlier"
"303","North Carolina State University",29855,30917,"north_america",-1062,-0.03495,"not outlier"
"304","Northeastern University",21414,20910,"north_america",504,0.02382,"not outlier"
"305","Northern Arizona University",25103,30512,"north_america",-5409,-0.19452,"not outlier"
"306","Northwestern Polytechnical University",30622,31033,"asia",-411,-0.01333,"not outlier"
"307","Northwestern University",19534,18735,"north_america",799,0.04176,"not outlier"
"308","Nottingham Trent University",33073,27218,"europe",5855,0.19422,"outlier & student qs > the"
"309","Novosibirsk State Technical University",11388,11426,"europe",-38,-0.00333,"not outlier"
"310","Novosibirsk State University",7484,7008,"europe",476,0.06569,"not outlier"
"311","Okayama University",13116,13145,"asia",-29,-0.00221,"not outlier"
"312","Oklahoma State University",21409,21626,"north_america",-217,-0.01008,"not outlier"
"313","Osaka City University",8338,8141,"asia",197,0.02391,"not outlier"
"314","Osaka Prefecture University",7710,7724,"asia",-14,-0.00181,"not outlier"
"315","Osaka University",22618,22451,"asia",167,0.00741,"not outlier"
"316","Oxford Brookes University",14579,13117,"europe",1462,0.10557,"not outlier"
"317","Palacky University Olomouc",18673,17818,"europe",855,0.04686,"not outlier"
"318","Panjab University",17361,16047,"asia",1314,0.07866,"not outlier"
"319","Pavol Jozef <U+0160>afarik University in Ko<U+0161>ice",6645,7198,"europe",-553,-0.0799,"not outlier"
"320","Peking University",31990,31606,"asia",384,0.01208,"not outlier"
"321","Plekhanov Russian University of Economics",13777,14450,"europe",-673,-0.04768,"not outlier"
"322","Politecnico di Milano",35419,37680,"europe",-2261,-0.06186,"not outlier"
"323","Pondicherry University",6045,7080,"asia",-1035,-0.15771,"not outlier"
"324","Pontificia Universidade Catolica do Parana",10556,13324,"latin_america",-2768,-0.23183,"outlier & student qs < the"
"325","Portland State University",18230,19576,"north_america",-1346,-0.07121,"not outlier"
"326","Pozna<U+0144> University of Technology",12495,15506,"europe",-3011,-0.21506,"not outlier"
"327","Prince of Songkla University",34330,35735,"asia",-1405,-0.04011,"not outlier"
"328","Princess Nourah bint Abdulrahman University",28535,28535,"asia",0,0,"not outlier"
"329","Princeton University",8305,7753,"north_america",552,0.06875,"not outlier"
"330","Pusan National University",25187,21447,"asia",3740,0.1604,"not outlier"
"331","Qassim University",50054,48543,"asia",1511,0.03065,"not outlier"
"332","Qatar University",9084,8899,"asia",185,0.02057,"not outlier"
"333","Quaid-i-Azam University",15094,16793,"asia",-1699,-0.10656,"not outlier"
"334","Queen Mary University of London",19525,19976,"europe",-451,-0.02283,"not outlier"
"335","Rensselaer Polytechnic Institute",7419,7800,"north_america",-381,-0.05007,"not outlier"
"336","Rice University",7277,6885,"north_america",392,0.05536,"not outlier"
"337","Riga Technical University",10911,10515,"europe",396,0.03696,"not outlier"
"338","Rikkyo University",21040,19946,"asia",1094,0.05338,"not outlier"
"339","Ritsumeikan University",35419,34870,"asia",549,0.01562,"not outlier"
"340","RMIT University",33039,32743,"oceania",296,0.009,"not outlier"
"341","Robert Gordon University",9886,8899,"europe",987,0.10508,"not outlier"
"342","RUDN University",24378,21203,"europe",3175,0.13931,"not outlier"
"343","Russian Presidential Academy of National Economy and Public Administration",45539,15668,"europe",29871,0.97606,"outlier & student qs > the"
"344","RWTH Aachen University",47173,45628,"europe",1545,0.0333,"not outlier"
"345","Ryerson University",33682,35543,"north_america",-1861,-0.05377,"not outlier"
"346","Saint-Petersburg Mining University",8194,7753,"europe",441,0.05531,"not outlier"
"347","Saint Petersburg State University",24746,22751,"europe",1995,0.08401,"not outlier"
"348","Saitama University",8457,8453,"asia",4,0.00047,"not outlier"
"349","Sakarya University",48731,42557,"asia",6174,0.13526,"not outlier"
"350","Samara National Research University (Samara University)",8776,9591,"europe",-815,-0.08875,"not outlier"
"351","San Diego State University",31865,31221,"north_america",644,0.02042,"not outlier"
"352","Sapienza University of Rome",76453,71992,"europe",4461,0.0601,"not outlier"
"353","Satbayev University",9243,9558,"asia",-315,-0.03351,"not outlier"
"354","Savitribai Phule Pune University",4427,5078,"asia",-651,-0.13698,"not outlier"
"355","Sciences Po",11370,12543,"europe",-1173,-0.09811,"not outlier"
"356","Sechenov University",16393,16076,"europe",317,0.01953,"not outlier"
"357","Sejong University",12457,12063,"asia",394,0.03214,"not outlier"
"358","Seoul National University",26646,26871,"asia",-225,-0.00841,"not outlier"
"359","Shanghai Jiao Tong University",38740,36638,"asia",2102,0.05577,"not outlier"
"360","Shanghai University",38213,37347,"asia",866,0.02292,"not outlier"
"361","Sharif University of Technology",8089,8253,"asia",-164,-0.02007,"not outlier"
"362","Sheffield Hallam University",26354,25535,"europe",819,0.03157,"not outlier"
